GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TicketEnVivo,estructural,BeverageDecorator,0,19,0,0,0,5,0,3,0,3
TicketEnVivo,estructural,TicketDecorator,4,21,0,2,1,7,1,4,1,3
TicketEnVivo,creacional,TheatreEventFactory.new Event() {...},6,0,0,0,2,0,2,0,2,0
TicketEnVivo,creacional,TheatreEventFactory,9,0,0,0,2,0,2,0,2,0
TicketEnVivo,clases,Reservation,10,95,2,6,2,29,2,12,0,10
TicketEnVivo,clases,Option,13,9,0,0,3,4,3,1,3,1
TicketEnVivo,clases,TicketService,5,35,0,2,1,11,1,3,1,2
TicketEnVivo,clases,Ticket,3,14,0,0,1,6,1,3,1,3
TicketEnVivo,clases,PriceService,0,40,0,4,0,11,0,5,0,3
TicketEnVivo,clases,TicketEnVivo,182,0,6,0,43,0,7,0,4,0
TicketEnVivo,clases,TicketStatus,0,21,0,0,0,2,0,1,0,1
TicketEnVivo,clases,Event,23,0,0,0,8,0,4,0,4,0
TicketEnVivo,clases,ClosedState,0,9,0,0,0,4,0,3,0,3
TicketEnVivo,clases,NoRefundStrategy,0,8,0,0,0,3,0,2,0,2
TicketEnVivo,clases,PaymentResult,0,9,0,0,0,4,0,2,0,2
TicketEnVivo,clases,SupportTicket,0,50,0,0,0,16,0,7,0,7
TicketEnVivo,clases,OpenState,4,5,0,0,2,2,1,2,1,2
TicketEnVivo,clases,Customer,14,43,2,0,4,14,2,6,1,6
TicketEnVivo,clases,TicketEnVivo.ExtrasDecorator,27,0,0,0,6,0,3,0,3,0
TicketEnVivo,clases,ReservationService,22,40,5,7,6,12,5,6,1,4
TicketEnVivo,clases,EscalatedState,0,9,0,0,0,4,0,3,0,3
TicketEnVivo,clases,IssueType,0,21,0,0,0,2,0,1,0,1
TicketEnVivo,clases,EventType,27,0,0,0,2,0,1,0,1,0
TicketEnVivo,clases,Selection,0,42,0,4,0,11,0,6,0,4
TicketEnVivo,clases,Show,0,17,0,0,0,5,0,3,0,3
TicketEnVivo,clases,Money,121,11,10,0,21,4,15,1,10,1
TicketEnVivo,clases,StandardRefundStrategy,0,10,0,0,0,3,0,2,0,2
TicketEnVivo,clases,Seat,0,17,0,0,0,7,0,4,0,4
TicketEnVivo,comportamental,EventNotifier,0,31,0,2,0,8,0,4,0,3
TicketEnVivo,com.mycompany.mavenproject1,Mavenproject1,7,0,0,0,3,0,2,0,2,0
